District,Total Votes,Margin of Victory
Alabama's 1st Congressional District,"242,617",26.38%
Alabama's 2nd Congressional District,"226,230",22.96%
Alabama's 3rd Congressional District,"231,915",27.50%
Alabama's 4th Congressional District,"230,969",59.65%
Alabama's 5th Congressional District,"260,673",22.13%
Alabama's 6th Congressional District,"278,328",38.41%
Alabama's 7th Congressional District,"189,163",95.61%
Alaska at-large,"280,978",6.61%
Arizona's 1st Congressional District,"266,089",7.69%
Arizona's 2nd Congressional District,"294,152",9.49%
Arizona's 3rd Congressional District,"179,518",27.73%
Arizona's 4th Congressional District,"277,035",37.66%
Arizona's 5th Congressional District,"313,064",18.85%
Arizona's 6th Congressional District,"313,699",10.39%
Arizona's 7th Congressional District,"132,051",71.44%
Arizona's 8th Congressional District,"304,417",10.93%
Arizona's 9th Congressional District,"261,245",22.17%
Arkansas' 1st Congressional District,"201,245",40.17%
Arkansas' 2nd Congressional District,"253,453",6.31%
Arkansas' 3rd Congressional District,"229,708",32.11%
Arkansas' 4th Congressional District,"204,892",35.51%
California's 1st Congressional District,"291,594",9.77%
California's 2nd Congressional District,"315,657",54.02%
California's 3rd Congressional District,"232,251",16.15%
California's 4th Congressional District,"340,654",8.26%
California's 5th Congressional District,"261,018",57.74%
California's 6th Congressional District,"201,939",60.85%
California's 7th Congressional District,"281,617",10.09%
California's 8th Congressional District,"170,785",19.93%
California's 9th Congressional District,"200,763",12.98%
California's 10th Congressional District,"221,900",4.50%
California's 11th Congressional District,"275,681",48.26%
California's 12th Congressional District,"317,072",73.65%
California's 13th Congressional District,"294,837",76.76%
California's 14th Congressional District,"266,823",58.45%
California's 15th Congressional District,"243,929",45.94%
California's 16th Congressional District,"142,959",15.09%
California's 17th Congressional District,"211,162",50.69%
California's 18th Congressional District,"302,238",48.98%
California's 19th Congressional District,"220,319",47.51%
California's 20th Congressional District,"225,721",62.75%
California's 21st Congressional District,"113,616",0.76%
California's 22nd Congressional District,"222,379",5.44%
California's 23rd Congressional District,"205,774",27.43%
California's 24th Congressional District,"284,431",17.11%
California's 25th Congressional District,"245,022",8.73%
California's 26th Congressional District,"255,426",23.88%
California's 27th Congressional District,"202,636",58.42%
California's 28th Congressional District,"250,934",56.74%
California's 29th Congressional District,"154,692",61.22%
California's 30th Congressional District,"260,993",46.80%
California's 31st Congressional District,"187,495",17.49%
California's 32nd Congressional District,"177,031",37.56%
California's 33rd Congressional District,"312,860",40.06%
California's 34th Congressional District,"151,906",45.08%
California's 35th Congressional District,"149,024",38.80%
California's 36th Congressional District,"207,008",18.03%
California's 37th Congressional District,"236,378",78.15%
California's 38th Congressional District,"202,156",37.70%
California's 39th Congressional District,"244,393",3.11%
California's 40th Congressional District,"121,449",54.70%
California's 41st Congressional District,"166,248",30.20%
California's 42nd Congressional District,"231,932",13.00%
California's 43rd Congressional District,"196,052",55.34%
California's 44th Congressional District,"143,322",36.68%
California's 45th Congressional District,"305,289",4.10%
California's 46th Congressional District,"147,916",38.29%
California's 47th Congressional District,"221,036",29.71%
California's 48th Congressional District,"294,736",7.10%
California's 49th Congressional District,"295,030",12.84%
California's 50th Congressional District,"259,810",3.43%
California's 51st Congressional District,"153,828",42.40%
California's 52nd Congressional District,"296,007",27.69%
California's 53rd Congressional District,"268,794",38.15%
Colorado's 1st Congressional District,"369,715",50.76%
Colorado's 2nd Congressional District,"430,765",26.63%
Colorado's 3rd Congressional District,"336,201",7.97%
Colorado's 4th Congressional District,"369,621",21.24%
Colorado's 5th Congressional District,"322,716",17.71%
Colorado's 6th Congressional District,"346,822",11.23%
Colorado's 7th Congressional District,"338,067",25.00%
Connecticut's 1st Congressional District,"274,140",28.84%
Connecticut's 2nd Congressional District,"289,114",26.72%
Connecticut's 3rd Congressional District,"154,277",87.26%
Connecticut's 4th Congressional District,"275,651",22.42%
Connecticut's 5th Congressional District,"270,664",11.75%
Delaware at-large,"352,737",28.91%
Florida's 1st Congressional District,"322,388",34.12%
Florida's 2nd Congressional District,"295,568",34.88%
Florida's 3rd Congressional District,"306,496",15.25%
Florida's 4th Congressional District,"381,249",32.81%
Florida's 5th Congressional District,"270,326",33.56%
Florida's 6th Congressional District,"333,649",12.63%
Florida's 7th Congressional District,"317,398",15.38%
Florida's 8th Congressional District,"360,527",21.00%
Florida's 9th Congressional District,"296,737",16.04%
Florida's 10th Congressional District,--,100.00%
Florida's 11th Congressional District,"367,506",30.30%
Florida's 12th Congressional District,"334,918",18.43%
Florida's 13th Congressional District,"316,971",15.29%
Florida's 14th Congressional District,--,100.00%
Florida's 15th Congressional District,"285,532",6.04%
Florida's 16th Congressional District,"361,946",9.12%
Florida's 17th Congressional District,"310,520",24.52%
Florida's 18th Congressional District,"342,359",8.60%
Florida's 19th Congressional District,"339,607",24.55%
Florida's 20th Congressional District,"202,824",99.84%
Florida's 21st Congressional District,--,100.00%
Florida's 22nd Congressional District,"297,683",24.05%
Florida's 23rd Congressional District,"276,366",22.49%
Florida's 24th Congressional District,--,100.00%
Florida's 25th Congressional District,"212,845",20.91%
Florida's 26th Congressional District,"235,475",1.75%
Florida's 27th Congressional District,"252,586",6.00%
Georgia's 1st Congressional District,"250,683",15.48%
Georgia's 2nd Congressional District,"229,171",19.30%
Georgia's 3rd Congressional District,"293,006",31.05%
Georgia's 4th Congressional District,"288,809",57.69%
Georgia's 5th Congressional District,"275,406",100.00%
Georgia's 6th Congressional District,"317,032",1.03%
Georgia's 7th Congressional District,"280,453",0.15%
Georgia's 8th Congressional District,"198,716",99.43%
Georgia's 9th Congressional District,"282,582",59.01%
Georgia's 10th Congressional District,"302,735",25.78%
Georgia's 11th Congressional District,"310,540",23.58%
Georgia's 12th Congressional District,"250,492",18.96%
Georgia's 13th Congressional District,"293,010",52.35%
Georgia's 14th Congressional District,"229,724",53.00%
Hawaii's 1st Congressional District,"184,211",50.03%
Hawaii's 2nd Congressional District,"198,121",54.72%
Idaho's 1st Congressional District,"315,069",31.99%
Idaho's 2nd Congressional District,"280,655",21.34%
Illinois' 1st Congressional District,"257,885",53.74%
Illinois' 2nd Congressional District,"227,691",61.46%
Illinois' 3rd Congressional District,"223,334",47.09%
Illinois' 4th Congressional District,"166,189",73.17%
Illinois' 5th Congressional District,"279,131",53.33%
Illinois' 6th Congressional District,"315,446",7.15%
Illinois' 7th Congressional District,"246,243",75.23%
Illinois' 8th Congressional District,"197,127",31.95%
Illinois' 9th Congressional District,"290,351",46.97%
Illinois' 10th Congressional District,"232,221",30.79%
Illinois' 11th Congressional District,"227,765",27.68%
Illinois' 12th Congressional District,"261,543",6.18%
Illinois' 13th Congressional District,"270,981",0.76%
Illinois' 14th Congressional District,"297,199",5.00%
Illinois' 15th Congressional District,"255,608",41.86%
Illinois' 16th Congressional District,"255,825",18.25%
Illinois' 17th Congressional District,"229,749",24.19%
Illinois' 18th Congressional District,"291,413",34.47%
Indiana's 1st Congressional District,"245,209",30.19%
Indiana's 2nd Congressional District,"228,889",9.67%
Indiana's 3rd Congressional District,"245,537",29.45%
Indiana's 4th Congressional District,"244,363",28.12%
Indiana's 5th Congressional District,"317,177",13.52%
Indiana's 6th Congressional District,"241,726",30.96%
Indiana's 7th Congressional District,"217,596",29.73%
Indiana's 8th Congressional District,"244,291",28.86%
Indiana's 9th Congressional District,"271,361",12.96%
Iowa's 1st Congressional District,"334,243",5.06%
Iowa's 2nd Congressional District,"312,913",12.19%
Iowa's 3rd Congressional District,"356,241",2.16%
Iowa's 4th Congressional District,"313,251",3.33%
Kansas' 1st Congressional District,"224,640",36.29%
Kansas' 2nd Congressional District,"264,688",0.85%
Kansas' 3rd Congressional District,"318,301",9.66%
Kansas' 4th Congressional District,"242,693",18.87%
Kentucky's 1st Congressional District,"251,016",37.18%
Kentucky's 2nd Congressional District,"257,345",35.65%
Kentucky's 3rd Congressional District,"278,720",25.50%
Kentucky's 4th Congressional District,"261,812",27.66%
Kentucky's 5th Congressional District,"218,017",57.89%
Kentucky's 6th Congressional District,"302,888",3.21%
Louisiana's 1st Congressional District,"269,325",55.06%
Louisiana's 2nd Congressional District,"235,982",71.92%
Louisiana's 3rd Congressional District,"245,943",37.87%
Louisiana's 4th Congressional District,"216,872",30.61%
Louisiana's 5th Congressional District,"223,946",36.57%
Louisiana's 6th Congressional District,"268,525",48.96%
Maine's 1st Congressional District,"342,053",26.31%
Maine's 2nd Congressional District,"281,371",1.25%
Maryland's 1st Congressional District,"306,186",21.89%
Maryland's 2nd Congressional District,"253,302",35.30%
Maryland's 3rd Congressional District,"292,880",40.85%
Maryland's 4th Congressional District,"268,583",58.20%
Maryland's 5th Congressional District,"304,209",43.21%
Maryland's 6th Congressional District,"277,084",20.98%
Maryland's 7th Congressional District,"264,710",55.18%
Maryland's 8th Congressional District,"319,330",37.94%
Massachusetts' 1st Congressional District,"216,900",95.29%
Massachusetts' 2nd Congressional District,"284,893",34.38%
Massachusetts' 3rd Congressional District,"279,327",28.54%
Massachusetts' 4th Congressional District,"251,016",95.44%
Massachusetts' 5th Congressional District,"311,324",51.84%
Massachusetts' 6th Congressional District,"333,975",33.81%
Massachusetts' 7th Congressional District,"220,411",96.50%
Massachusetts' 8th Congressional District,"263,307",96.85%
Massachusetts' 9th Congressional District,"323,928",18.80%
Michigan's 1st Congressional District,"332,497",12.63%
Michigan's 2nd Congressional District,"305,463",12.35%
Michigan's 3rd Congressional District,"310,740",11.24%
Michigan's 4th Congressional District,"285,050",25.25%
Michigan's 5th Congressional District,"276,413",23.60%
Michigan's 6th Congressional District,"293,438",4.55%
Michigan's 7th Congressional District,"295,060",7.59%
Michigan's 8th Congressional District,"341,593",3.83%
Michigan's 9th Congressional District,"304,563",22.86%
Michigan's 10th Congressional District,"303,064",25.32%
Michigan's 11th Congressional District,"350,901",6.68%
Michigan's 12th Congressional District,"294,628",39.19%
Michigan's 13th Congressional District,"196,299",72.93%
Michigan's 14th Congressional District,"264,994",63.56%
Minnesota's 1st Congressional District,"291,661",0.45%
Minnesota's 2nd Congressional District,"337,968",5.51%
Minnesota's 3rd Congressional District,"363,949",11.42%
Minnesota's 4th Congressional District,"328,614",36.25%
Minnesota's 5th Congressional District,"343,358",56.29%
Minnesota's 6th Congressional District,"315,726",22.36%
Minnesota's 7th Congressional District,"281,509",4.26%
Minnesota's 8th Congressional District,"314,211",5.54%
Mississippi's 1st Congressional District,"236,521",34.52%
Mississippi's 2nd Congressional District,"221,379",50.06%
Mississippi's 3rd Congressional District,"257,271",25.59%
Mississippi's 4th Congressional District,"223,732",37.48%
Missouri's 1st Congressional District,"274,375",63.39%
Missouri's 2nd Congressional District,"376,066",3.95%
Missouri's 3rd Congressional District,"324,608",32.24%
Missouri's 4th Congressional District,"293,316",32.11%
Missouri's 5th Congressional District,"283,785",26.06%
Missouri's 6th Congressional District,"305,409",33.44%
Missouri's 7th Congressional District,"296,455",36.14%
Missouri's 8th Congressional District,"264,399",48.37%
Montana at-large,"504,421",4.63%
Nebraska's 1st Congressional District,"234,781",20.72%
Nebraska's 2nd Congressional District,"248,485",1.99%
Nebraska's 3rd Congressional District,"213,304",53.44%
Nevada's 1st Congressional District,"152,201",35.30%
Nevada's 2nd Congressional District,"287,537",16.46%
Nevada's 3rd Congressional District,"286,168",9.06%
Nevada's 4th Congressional District,"234,868",8.18%
New Hampshire's 1st Congressional District,"290,928",8.55%
New Hampshire's 2nd Congressional District,"279,705",13.36%
New Jersey's 1st Congressional District,"263,418",31.13%
New Jersey's 2nd Congressional District,"258,363",7.67%
New Jersey's 3rd Congressional District,"306,875",1.29%
New Jersey's 4th Congressional District,"294,348",12.33%
New Jersey's 5th Congressional District,"301,823",13.68%
New Jersey's 6th Congressional District,"221,195",27.27%
New Jersey's 7th Congressional District,"322,742",5.02%
New Jersey's 8th Congressional District,"153,455",59.40%
New Jersey's 9th Congressional District,"200,416",41.40%
New Jersey's 10th Congressional District,"200,159",77.47%
New Jersey's 11th Congressional District,"323,574",14.64%
New Jersey's 12th Congressional District,"252,375",37.36%
New Mexico's 1st Congressional District,"249,162",22.81%
New Mexico's 2nd Congressional District,"199,256",1.87%
New Mexico's 3rd Congressional District,"244,893",32.17%
New York's 1st Congressional District,"270,006",4.09%
New York's 2nd Congressional District,"241,152",6.22%
New York's 3rd Congressional District,"266,970",17.96%
New York's 4th Congressional District,"260,106",22.67%
New York's 5th Congressional District,--,100.00%
New York's 6th Congressional District,"122,855",81.75%
New York's 7th Congressional District,"157,097",87.85%
New York's 8th Congressional District,"191,404",89.02%
New York's 9th Congressional District,"203,135",79.04%
New York's 10th Congressional District,"210,714",64.29%
New York's 11th Congressional District,"192,038",6.45%
New York's 12th Congressional District,"251,604",74.32%
New York's 13th Congressional District,"190,303",89.21%
New York's 14th Congressional District,"141,122",64.57%
New York's 15th Congressional District,"129,674",91.97%
New York's 16th Congressional District,--,100.00%
New York's 17th Congressional District,"193,318",76.05%
New York's 18th Congressional District,"251,599",10.94%
New York's 19th Congressional District,"287,894",5.21%
New York's 20th Congressional District,"265,869",33.01%
New York's 21st Congressional District,"235,209",13.69%
New York's 22nd Congressional District,"250,957",1.78%
New York's 23rd Congressional District,"240,255",8.49%
New York's 24th Congressional District,"260,146",5.26%
New York's 25th Congressional District,"269,980",17.97%
New York's 26th Congressional District,"230,654",46.68%
New York's 27th Congressional District,"285,178",0.38%
North Carolina's 1st Congressional District,"269,534",39.54%
North Carolina's 2nd Congressional District,"327,229",5.62%
North Carolina's 3rd Congressional District,"173,483",100.00%
North Carolina's 4th Congressional District,"334,495",48.27%
North Carolina's 5th Congressional District,"277,002",14.40%
North Carolina's 6th Congressional District,"281,974",13.24%
North Carolina's 7th Congressional District,"279,910",12.90%
North Carolina's 8th Congressional District,"253,318",10.81%
North Carolina's 10th Congressional District,"276,446",18.69%
North Carolina's 11th Congressional District,"299,009",20.52%
North Carolina's 12th Congressional District,"276,867",46.08%
North Carolina's 13th Congressional District,"282,957",6.08%
North Dakota at-large,"321,532",24.63%
Ohio's 1st Congressional District,"300,871",4.42%
Ohio's 2nd Congressional District,"289,661",16.36%
Ohio's 3rd Congressional District,"246,677",47.24%
Ohio's 4th Congressional District,"257,405",30.53%
Ohio's 5th Congressional District,"283,617",27.12%
Ohio's 6th Congressional District,"249,490",38.50%
Ohio's 7th Congressional District,"260,653",17.49%
Ohio's 8th Congressional District,"261,133",33.15%
Ohio's 9th Congressional District,"231,937",35.59%
Ohio's 10th Congressional District,"281,726",13.76%
Ohio's 11th Congressional District,"250,660",64.49%
Ohio's 12th Congressional District,"341,647",4.22%
Ohio's 13th Congressional District,"251,370",21.99%
Ohio's 14th Congressional District,"307,358",10.50%
Ohio's 15th Congressional District,"292,443",18.63%
Ohio's 16th Congressional District,"299,710",13.46%
Oklahoma's 1st Congressional District,"253,171",18.60%
Oklahoma's 2nd Congressional District,"216,002",34.92%
Oklahoma's 3rd Congressional District,"234,065",47.75%
Oklahoma's 4th Congressional District,"236,638",30.06%
Oklahoma's 5th Congressional District,"238,960",1.40%
Oregon's 1st Congressional District,"363,249",31.59%
Oregon's 2nd Congressional District,"368,709",16.90%
Oregon's 3rd Congressional District,"384,326",52.78%
Oregon's 4th Congressional District,"372,893",15.10%
Oregon's 5th Congressional District,"358,469",13.20%
Pennsylvania's 1st Congressional District,"329,798",2.52%
Pennsylvania's 2nd Congressional District,"201,982",58.03%
Pennsylvania's 3rd Congressional District,"307,997",86.76%
Pennsylvania's 4th Congressional District,"332,991",27.04%
Pennsylvania's 5th Congressional District,"304,714",30.38%
Pennsylvania's 6th Congressional District,"301,828",17.75%
Pennsylvania's 7th Congressional District,"263,261",10.02%
Pennsylvania's 8th Congressional District,"248,166",9.28%
Pennsylvania's 9th Congressional District,"248,927",19.49%
Pennsylvania's 10th Congressional District,"291,033",2.64%
Pennsylvania's 11th Congressional District,"277,584",17.95%
Pennsylvania's 12th Congressional District,"243,872",32.08%
Pennsylvania's 13th Congressional District,"253,266",40.98%
Pennsylvania's 14th Congressional District,"261,437",15.81%
Pennsylvania's 15th Congressional District,"243,572",35.68%
Pennsylvania's 16th Congressional District,"262,396",4.28%
Pennsylvania's 17th Congressional District,"325,579",12.51%
Pennsylvania's 18th Congressional District,"231,472",100.00%
Rhode Island's 1st Congressional District,"174,083",33.62%
Rhode Island's 2nd Congressional District,"199,197",27.21%
South Carolina's 1st Congressional District,"287,433",1.39%
South Carolina's 2nd Congressional District,"257,139",13.78%
South Carolina's 3rd Congressional District,"226,204",36.82%
South Carolina's 4th Congressional District,"243,950",23.01%
South Carolina's 5th Congressional District,"248,579",15.54%
South Carolina's 6th Congressional District,"206,433",41.89%
South Carolina's 7th Congressional District,"239,554",19.25%
South Dakota at-large,"335,965",24.31%
Tennessee's 1st Congressional District,"224,282",56.04%
Tennessee's 2nd Congressional District,"262,134",32.88%
Tennessee's 3rd Congressional District,"245,765",29.21%
Tennessee's 4th Congressional District,"232,451",29.79%
Tennessee's 5th Congressional District,"262,248",35.69%
Tennessee's 6th Congressional District,"248,740",41.18%
Tennessee's 7th Congressional District,"254,384",34.75%
Tennessee's 8th Congressional District,"248,345",37.56%
Tennessee's 9th Congressional District,"181,476",60.75%
Texas' 1st Congressional District,"232,720",45.94%
Texas' 2nd Congressional District,"263,392",7.29%
Texas' 3rd Congressional District,"312,511",10.01%
Texas' 4th Congressional District,"249,245",52.67%
Texas' 5th Congressional District,"209,507",24.80%
Texas' 6th Congressional District,"256,042",7.66%
Texas' 7th Congressional District,"243,601",5.06%
Texas' 8th Congressional District,"273,170",48.57%
Texas' 9th Congressional District,"153,001",85.17%
Texas' 10th Congressional District,"307,827",4.27%
Texas' 11th Congressional District,"220,377",61.70%
Texas' 12th Congressional District,"268,491",30.38%
Texas' 13th Congressional District,"207,285",64.62%
Texas' 14th Congressional District,"234,528",19.93%
Texas' 15th Congressional District,"164,802",20.92%
Texas' 16th Congressional District,"181,754",41.44%
Texas' 17th Congressional District,"237,351",15.49%
Texas' 18th Congressional District,"184,332",54.43%
Texas' 19th Congressional District,"201,985",50.45%
Texas' 20th Congressional District,"171,963",61.71%
Texas' 21st Congressional District,"353,617",2.61%
Texas' 22nd Congressional District,"297,405",4.91%
Texas' 23rd Congressional District,"210,069",0.44%
Texas' 24th Congressional District,"263,418",3.07%
Texas' 25th Congressional District,"304,553",8.75%
Texas' 26th Congressional District,"312,505",20.36%
Texas' 27th Congressional District,"207,421",23.71%
Texas' 28th Congressional District,"139,226",68.78%
Texas' 29th Congressional District,"117,494",51.14%
Texas' 30th Congressional District,"183,174",82.10%
Texas' 31st Congressional District,"286,007",2.91%
Texas' 32nd Congressional District,"275,620",6.52%
Texas' 33rd Congressional District,"119,224",54.26%
Texas' 34th Congressional District,"143,068",19.98%
Texas' 35th Congressional District,"194,067",45.20%
Texas' 36th Congressional District,"221,956",45.12%
Utah's 1st Congressional District,"254,333",36.72%
Utah's 2nd Congressional District,"270,044",17.20%
Utah's 3rd Congressional District,"258,858",40.24%
Utah's 4th Congressional District,"269,271",0.26%
Vermont,"272,451",43.25%
Virginia's 1st Congressional District,"332,101",10.47%
Virginia's 2nd Congressional District,"273,400",2.24%
Virginia's 3rd Congressional District,"217,722",82.45%
Virginia's 4th Congressional District,"299,854",26.66%
Virginia's 5th Congressional District,"310,926",6.53%
Virginia's 6th Congressional District,"281,377",19.48%
Virginia's 7th Congressional District,"349,803",1.94%
Virginia's 8th Congressional District,"324,748",52.42%
Virginia's 9th Congressional District,"246,980",30.41%
Virginia's 10th Congressional District,"367,795",12.38%
Virginia's 11th Congressional District,"308,250",44.17%
Washington's 1st Congressional District,"332,743",18.54%
Washington's 2nd Congressional District,"294,833",42.58%
Washington's 3rd Congressional District,"307,226",5.34%
Washington's 4th Congressional District,"225,336",25.64%
Washington's 5th Congressional District,"320,347",9.52%
Washington's 6th Congressional District,"323,086",27.77%
Washington's 7th Congressional District,"394,681",67.12%
Washington's 8th Congressional District,"313,057",4.83%
Washington's 9th Congressional District,"240,567",35.80%
Washington's 10th Congressional District,"270,075",23.09%
West Virginia's 1st Congressional District,"198,214",29.15%
West Virginia's 2nd Congressional District,"204,792",10.98%
West Virginia's 3rd Congressional District,"174,985",12.75%
Wisconsin's 1st Congressional District,"325,013",12.30%
Wisconsin's 2nd Congressional District,"309,154",99.98%
Wisconsin's 3rd Congressional District,"314,868",19.34%
Wisconsin's 4th Congressional District,"272,748",54.04%
Wisconsin's 5th Congressional District,"364,005",23.97%
Wisconsin's 6th Congressional District,"324,847",11.01%
Wisconsin's 7th Congressional District,"322,787",21.61%
Wisconsin's 8th Congressional District,"328,675",27.43%
Wyoming's At Large,"201,245",33.82%